ENTRY,USCPI,CANEX,CANCPI,JAPANEX,JAPANCPI,SWEX,SWCPI
1981:07:00,229.323,1.211,244.604,255.031,238.235,2.098,167.154
1981:08:00,231.078,1.223,246.565,259.046,237.059,2.17,169.749
1981:09:00,233.333,1.201,248.526,263.286,240.882,2.022,169.894
1981:10:00,234.085,1.203,250.977,271.615,241.471,1.885,169.316
1981:11:00,235.088,1.187,252.937,264.088,241.471,1.786,170.324
1981:12:00,235.84,1.185,253.918,241.941,241.471,1.815,170.324
1982:01:00,236.591,1.193,255.879,232.731,241.471,1.844,171.19
1982:02:00,237.343,1.214,258.82,236.121,241.471,1.891,171.479
1982:03:00,237.343,1.22,262.251,238.254,241.471,1.889,171.765
1982:04:00,238.095,1.225,263.722,237.747,243.529,1.962,172.775
1982:05:00,240.351,1.234,267.153,234.756,244.412,1.95,174.937
1982:06:00,243.108,1.276,270.094,240.031,244.412,2.079,176.522
1982:07:00,244.361,1.27,271.565,240.516,242.941,2.096,177.241
1982:08:00,244.862,1.245,272.545,244.461,244.706,2.112,178.537
1982:09:00,244.862,1.235,274.016,242.346,248.235,2.142,179.259
1982:10:00,245.865,1.23,275.976,232.886,249.118,2.174,179.692
1982:11:00,245.614,1.226,277.447,235.03,246.765,2.193,180.269
1982:12:00,244.862,1.238,277.447,234.462,246.471,2.05,179.691
1983:01:00,245.363,1.229,276.957,233.8,246.765,1.968,179.423
1983:02:00,245.614,1.228,278.427,233.596,245.882,2.018,179.671
1983:03:00,245.865,1.226,281.368,225.266,247.353,2.066,180.014
1983:04:00,247.619,1.232,281.368,225.2,248.235,2.059,180.577
1983:05:00,248.622,1.229,281.859,230.478,250.882,2.057,180.731
1983:06:00,249.123,1.232,284.8,233.566,249.412,2.112,181.478
1983:07:00,250.125,1.232,286.27,243.068,248.235,2.118,181.124
1983:08:00,250.877,1.234,287.741,242.261,247.941,2.163,181.612
1983:09:00,251.629,1.233,287.741,245.457,250.588,2.162,181.838
1983:10:00,252.632,1.232,289.702,246.755,252.647,2.112,182.273
1983:11:00,253.383,1.237,289.702,243.631,251.471,2.17,183.428
1983:12:00,254.135,1.247,290.192,247.964,250.588,2.198,183.53
1984:01:00,255.89,1.248,292.153,254.183,251.471,2.238,184.189
1984:02:00,257.143,1.248,293.623,260.478,252.941,2.205,184.854
1984:03:00,257.895,1.27,294.113,257.921,253.529,2.149,186.056
1984:04:00,258.897,1.28,295.094,251.845,254.118,2.191,186.33
1984:05:00,259.398,1.294,295.094,251.73,255.882,2.268,185.943
1984:06:00,259.9,1.304,297.054,248.84,254.118,2.283,186.542
1984:07:00,260.902,1.324,298.035,241.136,254.706,2.412,186.212
