ENTRY,USCPI,CANEX,CANCPI,JAPANEX,JAPANCPI,SWEX,SWCPI
2006:08:00,510.777,1.118,538.227,116.734,297.647,1.232,279.255
2006:09:00,508.271,1.116,535.286,115.043,297.647,1.246,278.657
2006:10:00,506.015,1.129,534.306,115.866,297.059,1.26,279.601
2006:11:00,506.266,1.136,535.286,111.073,295.588,1.236,279.479
2006:12:00,509.023,1.153,536.267,112.449,295.882,1.21,279.517
2007:01:00,509.867,1.176,536.267,107.818,295.294,1.243,277.564
2007:02:00,511.845,1.171,540.188,107.03,293.824,1.239,278.113
2007:03:00,514.506,1.168,544.6,100.756,294.706,1.218,278.33
2007:04:00,516.05,1.135,547.051,102.678,295.588,1.212,281.48
2007:05:00,518.183,1.095,549.502,104.36,296.471,1.221,282.138
2007:06:00,519.383,1.065,548.521,106.915,295.882,1.233,282.461
2007:07:00,520.308,1.05,549.011,106.852,295.588,1.207,280.786
2007:08:00,520.469,1.058,547.541,109.362,297.059,1.203,280.472
2007:09:00,522.674,1.027,548.521,106.575,297.059,1.185,280.739
2007:10:00,524.286,0.975,547.051,99.966,297.941,1.174,283.136
2007:11:00,528.406,0.967,548.521,96.966,297.353,1.123,284.427
2007:12:00,529.937,1.002,549.011,91.275,297.941,1.14,285.118
2008:01:00,531.764,1.01,548.031,90.121,297.353,1.101,284.298
2008:02:00,533.05,0.999,549.992,92.916,296.765,1.089,284.689
2008:03:00,534.957,1.003,551.953,97.855,298.235,1.013,285.652
2008:04:00,536.195,1.014,556.364,98.92,297.941,1.014,287.909
2008:05:00,539.368,0.999,561.756,96.644,300.294,1.045,290.195
2008:06:00,545.02,1.017,565.678,96.615,301.765,1.037,290.686
2008:07:00,548.912,1.013,567.639,94.367,302.353,1.028,289.419
2008:08:00,548.095,1.054,566.658,94.897,303.235,1.084,288.666
2008:09:00,548.564,1.058,567.148,91.275,303.235,1.11,288.956
2008:10:00,543.847,1.185,561.266,90.367,302.941,1.143,290.492
2008:11:00,534.218,1.217,559.305,89.267,300.294,1.191,288.557
2008:12:00,529.82,1.234,555.384,89.951,299.118,1.14,287.117
2009:01:00,531.208,1.225,553.913,91.101,297.353,1.127,284.694
2009:02:00,533.391,1.245,557.835,90.139,296.471,1.164,285.365
2009:03:00,532.639,1.265,558.815,90.716,297.353,1.156,284.441
2009:04:00,532.975,1.224,558.325,93.453,297.647,1.148,286.948
2009:05:00,533.83,1.153,562.247,91.973,297.059,1.108,287.406
2009:06:00,538.323,1.126,564.207,90.806,296.471,1.081,287.921
2009:07:00,538.145,1.123,562.247,87.501,295.588,1.078,286.01
2009:08:00,539.955,1.087,562.247,85.373,296.471,1.068,286.327
2009:09:00,541.053,1.082,562.247,84.357,296.471,1.039,286.291
2009:10:00,542.561,1.055,561.756,81.728,295.294,1.021,288.07
2009:11:00,544.273,1.059,564.698,82.518,294.706,1.013,288.626
2009:12:00,544.774,1.054,562.737,83.338,294.118,1.03,287.928
2010:01:00,545.058,1.044,564.207,82.625,294.412,1.035,287.609
2010:02:00,544.752,1.057,566.658,82.537,294.118,1.072,288.027
2010:03:00,544.812,1.023,566.658,81.647,295,1.067,288.422
2010:04:00,544.564,1.005,568.619,83.177,295.294,1.069,290.887
2010:05:00,544.436,1.04,570.09,81.126,295,1.129,290.586
2010:06:00,544.684,1.038,569.599,80.426,294.412,1.125,289.322
2010:07:00,545.589,1.042,572.541,79.243,292.647,1.053,287.207
2010:08:00,546.416,1.04,572.05,76.966,293.235,1.039,287.167
2010:09:00,547.165,1.033,573.031,76.796,293.824,1,287.101
2010:10:00,548.862,1.018,575.482,76.643,294.706,0.969,288.629
2010:11:00,550.053,1.013,575.972,77.56,293.824,0.985,289.322
2010:12:00,552.551,1.008,575.972,77.797,292.941,0.969,289.424
2011:01:00,554.053,0.994,577.442,76.964,292.647,0.957,288.409
2011:02:00,556.16,0.988,578.913,78.47,292.647,0.95,289.496
2011:03:00,559.163,0.977,585.285,82.466,293.529,0.918,291.318
2011:04:00,561.1,0.958,587.246,81.252,293.824,0.897,291.64
2011:05:00,563.276,0.968,591.168,79.667,293.824,0.874,291.659
2011:06:00,564.085,0.977,587.246,79.315,293.235,0.84,290.954
2011:07:00,565.398,0.955,588.227,78.935,293.235,0.821,288.563
2011:08:00,566.885,0.982,589.697,78.691,293.824,0.78,287.72
2011:09:00,568.303,1.002,591.168,78.135,293.824,0.877,288.496
2011:10:00,568.241,1.02,592.148,79.013,294.118,0.896,288.304
2011:11:00,569.045,1.025,592.638,81.031,292.353,0.908,287.801
2011:12:00,569.266,1.024,589.207,83.79,292.353,0.933,287.356
2012:01:00,570.439,1.013,591.658,89.058,292.941,0.938,286.132
2012:02:00,572.063,0.997,594.109,93.002,293.529,0.912,286.939
2012:03:00,573.81,0.994,596.56,94.77,295,0.913,288.538
2012:04:00,573.812,0.993,599.011,97.758,295.294,0.913,288.754
2012:05:00,573.053,1.01,598.521,100.919,294.412,0.938,288.703
2012:06:00,573.744,1.028,596.07,97.235,292.941,0.958,287.888
2012:07:00,573.524,1.014,595.579,99.673,292.059,0.978,286.503
2012:08:00,576.506,0.992,597.05,97.812,292.353,0.968,286.416
2012:09:00,579.516,0.978,598.03,99.21,292.941,0.939,287.309
2012:10:00,580.509,0.987,599.011,97.77,292.941,0.932,287.664
2012:11:00,579.125,0.997,597.54,100.074,291.765,0.939,286.72
2012:12:00,579.291,0.99,594.109,103.285,292.059,0.921,286.108
2013:01:00,579.444,0.992,594.599,NA,292.059,0.923,285.361
2013:02:00,583.383,1.01,601.462,NA,291.765,0.921,286.204
2013:03:00,582.306,1.024,602.442,NA,292.353,0.947,286.826
2013:04:00,580.163,1.019,601.462,NA,293.235,0.937,286.922
2013:05:00,581.03,1.02,602.932,NA,293.529,0.956,287.238
2013:06:00,583.82,1.031,602.932,NA,293.529,0.933,287.52
2013:07:00,584.757,1.04,603.422,NA,294.118,0.945,286.495
2013:08:00,585.278,1.041,603.422,NA,295,0.926,286.288
2013:09:00,586.333,1.034,604.403,NA,295.882,0.923,287.15
2013:10:00,585.985,1.036,602.932,NA,NA,0.902,286.929
2013:11:00,586.183,1.049,NA,NA,NA,0.913,NA
